Cycles Since Startup,Set TV,Compliance,Flow Analyser,OxVent
1,250,10,68,54
2,250,10,79,136
3,250,10,104,121
4,250,10,117,128
5,250,10,127,143
6,250,10,143,153
7,250,10,157,149
8,250,10,175,187
9,250,10,196,188
10,250,10,207,203
11,250,10,214,206
12,250,10,228,218
13,250,10,232,222
14,250,10,240,229
15,250,10,242,238
16,250,10,246,240
17,250,10,251,239
18,250,10,247,239
19,250,10,253,257
20,250,10,253,248
21,250,10,250,259
22,250,10,251,250
23,250,10,252,253
24,250,10,252,251
25,250,10,245,271
26,250,10,250,268
27,250,10,244,254
28,250,10,249,270
29,250,10,236,255
30,250,10,240,254
1,450,10,206,332
2,450,10,256,344
3,450,10,302,344
4,450,10,323,336
5,450,10,352,355
6,450,10,380,373
7,450,10,399,391
8,450,10,411,391
9,450,10,424,413
10,450,10,431,407
11,450,10,439,420
12,450,10,446,424
13,450,10,451,428
14,450,10,456,432
15,450,10,460,442
16,450,10,463,440
17,450,10,466,443
18,450,10,468,449
19,450,10,469,450
20,450,10,472,446
21,450,10,473,451
22,450,10,468,457
23,450,10,469,454
24,450,10,469,450
25,450,10,469,456
26,450,10,468,461
27,450,10,466,457
28,450,10,465,446
29,450,10,465,449
30,450,10,465,459
1,600,10,477,546
2,600,10,448,461
3,600,10,486,477
4,600,10,522,477
5,600,10,493,495
6,600,10,493,497
7,600,10,511,483
8,600,10,512,487
9,600,10,507,489
10,600,10,501,482
11,600,10,517,506
12,600,10,513,493
13,600,10,508,485
14,600,10,502,478
15,600,10,512,491
16,600,10,522,508
17,600,10,525,509
18,600,10,516,507
19,600,10,524,498
20,600,10,527,517
21,600,10,519,507
22,600,10,527,521
23,600,10,529,508
24,600,10,525,518
25,600,10,518,514
26,600,10,523,519
27,600,10,521,509
28,600,10,512,489
29,600,10,528,527
30,600,10,527,512
1,250,30,0,11
2,250,30,0,63
3,250,30,0,112
4,250,30,0,145
5,250,30,267,156
6,250,30,176,172
7,250,30,187,180
8,250,30,196,189
9,250,30,197,192
10,250,30,209,183
11,250,30,209,192
12,250,30,215,200
13,250,30,219,206
14,250,30,238,217
15,250,30,258,240
16,250,30,263,247
17,250,30,263,245
18,250,30,269,242
19,250,30,262,257
20,250,30,268,242
21,250,30,266,252
22,250,30,270,250
23,250,30,265,251
24,250,30,270,265
25,250,30,254,245
26,250,30,257,245
27,250,30,257,246
28,250,30,261,246
29,250,30,264,255
30,250,30,256,246
1,450,30,403,514
2,450,30,373,458
3,450,30,353,362
4,450,30,361,357
5,450,30,383,385
6,450,30,398,385
7,450,30,416,400
8,450,30,425,401
9,450,30,437,418
10,450,30,443,415
11,450,30,450,428
12,450,30,456,449
13,450,30,455,454
14,450,30,459,440
15,450,30,460,437
16,450,30,461,447
17,450,30,463,445
18,450,30,466,450
19,450,30,465,450
20,450,30,466,446
21,450,30,464,459
22,450,30,462,456
23,450,30,464,444
24,450,30,462,460
25,450,30,462,458
26,450,30,462,465
27,450,30,458,453
28,450,30,456,455
29,450,30,456,466
30,450,30,452,451
1,600,30,582,675
2,600,30,490,497
3,600,30,514,481
4,600,30,553,521
5,600,30,575,538
6,600,30,591,552
7,600,30,603,562
8,600,30,612,567
9,600,30,621,595
10,600,30,623,581
11,600,30,626,591
12,600,30,628,587
13,600,30,630,588
14,600,30,636,598
15,600,30,635,597
16,600,30,636,604
17,600,30,637,600
18,600,30,637,606
19,600,30,636,601
20,600,30,637,604
21,600,30,636,596
22,600,30,636,598
23,600,30,637,598
24,600,30,636,595
